id,genres,keywords,original_title,overview,popularity,vote_average,vote_count,title
4351,"['Crime', 'Drama', 'Mystery', 'Thriller']","['journalist', 'rape', 'corruption', 'threat of death', 'cuidad juarez']",Bordertown,"American corporations are using the North American Free Trade Agreement by opening large maquiladoras right across the United States–Mexico border. The maquiladoras hire mostly Mexican women to work long hours for little money in order to produce mass quantity products. Lauren Adrian, an impassioned American news reporter for the Chicago Sentinel wants to be assigned to the Iraq front-lines to cover the war. Instead, her editor George Morgan assigns her to investigate a series of slayings involving young maquiladora factory women in a Mexican bordertown.",12.153,6.3,301,Bordertown
340837,"['Horror', 'Mystery', 'Science Fiction']","['darkness', 'therapist', 'switzerland', 'mountain', 'wellness', 'employee', 'health', 'patient', 'spa', 'drugs', 'remote', 'swiss alps', 'treatment', 'cure', 'accident', 'wellness center', 'institute', 'incertitude']",A Cure for Wellness,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps but soon suspects that the spa's miraculous treatments are not what they seem.",31.522,6.335,3635,A Cure for Wellness
203739,"['Comedy', 'Action', 'Fantasy']","['friendship', 'based on novel or book', 'vampire', 'narration', 'danger of life', 'royal family', 'superhuman', 'guardian', 'super power', 'supernatural creature', 'based on young adult novel']",Vampire Academy,"Rose, a rebellious half-vampire/half-human guardian-in-training and her best friend, Lissa -- a mortal, royal vampire Princess - have been on the run when they are captured and returned to St. Vladamirs Academy, the very place where they believe their lives may be in most jeopardy. Rose will sacrifice everything to protect Lissa from those who intend to exploit her from within the Academy walls and the Strigoi (immortal, evil vampires) who hunt her kind from outside its sanctuary.",16.279,6.3,1672,Vampire Academy
16441,"['Fantasy', 'Adventure', 'Action']","['sacrifice', 'magic', 'sword', 'tiger', 'pregnancy', 'sword fight', 'murder', 'severed head', 'massacre', 'battle', 'animal', 'witchcraft', 'dead dog', 'loin cloth', 'sword and sorcery']",The Beastmaster,"Dar, is the son of a king, who is hunted by a priest after his birth and grows up in another family. When he becomes a grown man his new father is murdered by savages and he discovers that he has the ability to communicate with the animals, which leads him on his quest for revenge against his father's killers.",12.221,6.336,362,The Beastmaster
1577,"['Horror', 'Action', 'Science Fiction']","['rescue', 'martial arts', 'dystopia', 'mutant', 'conspiracy', 'evil corporation', 'zombie', 'based on video game']",Resident Evil: Apocalypse,"As the city is locked down under quarantine, Alice finds out that the people that died from the previous incident at the Umbrella Corporation have turned into zombies. She then joins a small band of elite soldiers, who are enlisted to rescue the missing daughter of the creator of the mutating T-virus.  Once lack of luck and resources happen, they begin to wage an exhilarating battle to survive and escape before the Umbrella Corporation erases its experiment from the face of the earth.",28.866,6.336,4027,Resident Evil: Apocalypse
46929,"['Animation', 'Music']","['circus', 'fairy tale', 'love', 'bear', 'puppetry', 'beanstalk', 'golden harp', 'based on fairy tale', 'giant', 'ventriloquism', 'live action and animation']",Fun and Fancy Free,"Jiminy Cricket hosts two Disney animated shorts: Bongo about a circus bear escaping to the wild, and Mickey and the Beanstalk, a take on the famous fairy tale.",15.377,6.334,429,Fun and Fancy Free
2667,"['Horror', 'Mystery']","['witch', 'legend', 'camping', 'map', 'supernatural', 'wilderness', 'forest', 'maryland', 'mockumentary', 'paranormal', 'friends', 'survival', 'urban legend', 'fear', 'witchcraft', 'evil', 'found footage', 'videotape', 'lost in the woods']",The Blair Witch Project,"In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found.",32.533,6.334,4472,The Blair Witch Project
11845,"['Romance', 'Drama', 'Fantasy']","['hotel room', 'bartender', 'new french extremism']",Intimacy,"Jay, a failed musician, walked out of his family and now earns a living as head bartender in a trendy London pub. Every Wednesday afternoon a woman comes to his house for graphic, almost wordless, sex. One day Jay follows her and finds out about the rest of her life. This eventually disrupts their relationship.",19.35,6.334,479,Intimacy
4478,"['Romance', 'Drama']","['adultery', ""love of one's life"", 'gambling', 'roulette', 'las vegas', 'millionaire']",Indecent Proposal,John Gage offers a down-on-his-luck yuppie husband $1 million for the opportunity to spend the night with the man's wife.,29.037,6.333,1289,Indecent Proposal
438808,"['Crime', 'Drama']","['war on drugs', 'drug trafficking', 'fbi', 'based on true story', 'informant', 'detroit, michigan', '1980s']",White Boy Rick,"The story of a teenager, Richard Wershe Jr., who became an undercover informant for the police during the 1980s and was ultimately arrested for drug-trafficking and sentenced to life in prison.",23.451,6.332,983,White Boy Rick
315880,"['Drama', 'Romance']",[],La corrispondenza,"The relationship between Ed, a married astronomer and Amy, his lover, who spend their years apart, is based only on phone calls and texts. One day Amy begins noticing something strange in Ed's messages.",12.13,6.332,378,Correspondence
21778,['Comedy'],"['parody', 'caveman']",RRRrrrr!!!,"In 35,000 BC, the tribe of the Dirty Hairs is at war against the tribe of the Clean Hairs for eight hundred years, trying to get their shampoo. The chief of the Dirty Hairs sends his daughter Guy disguised to the enemy tribe to get some shampoo for his tribe. When the healer of the Clean Hairs tribe surprisingly kills two cavemen of his tribe, their imbecile chief assigns Pierre with curled hair and Pierre blonde to investigate the murder and find the criminal.",20.896,6.332,1106,RRRrrrr!!!
7220,"['Action', 'Crime', 'Drama']","['undercover', 'submachine gun', 'chain', 'twin brother', 'based on comic', 'revenge', 'vigilante', 'organized crime', 'neighbor', 'one man army', 'massacre', 'family reunion', 'pier', 'tampa, florida', 'fbi agent', 'brutal violence']",The Punisher,"When undercover FBI agent Frank Castle's wife and son are slaughtered, he becomes 'the Punisher' -- a ruthless vigilante willing to go to any length to avenge his family.",50.293,6.334,2633,The Punisher
4728,['Comedy'],"['new york city', 'police', 'psychoanalysis', 'conference', 'ocean liner', 'gendarmerie', 'saint tropez', 'disguise', 'little italy', 'father daughter conflict']",Le Gendarme à New-York,"The second installment of Gendarmes series, tells the story of Sergeant Cruchot, who, together with his faithful comrades, has been sent to the International Congress of Gendarmerie in N.Y.",12.096,6.332,470,The Gendarme in New York
836466,['Animation'],[],Return,"A single man has worked most of his life in a supermarket. One night, he unexpectedly meets with his father, and the two are faced with the question of the reasons for their separation.",4.018,6.331,776,Return
76163,"['Action', 'Adventure', 'Thriller']","['airplane', 'loss of loved one', 'airplane crash', 'beard', 'wisecrack humor', 'airport lounge', 'asian woman']",The Expendables 2,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",70.624,6.331,6406,The Expendables 2
44244,"['Comedy', 'Music', 'TV Movie']","['summer camp', 'battle of the bands', 'camp', 'singing', 'singing competition']",Camp Rock 2: The Final Jam,"Mitchie can't wait to go back to Camp Rock and spend the summer making new music with her friends and superstar Shane Gray. But the slick new camp across the lake, Camp Star, has drummed up some serious competition – featuring newcomers Luke and Dana. In a sensational battle of the bands, with Camp Rock's future at stake, will Camp Star's flashy production and over-the-top antics win out, or will Camp Rockers prove that music, teamwork, and spirit are what truly matter?",18.349,6.331,1464,Camp Rock 2: The Final Jam
10056,"['Crime', 'Drama', 'Thriller']","['new york city', 'woman between two men', 'film noir', 'hoodlum']",Killer's Kiss,"The film revolves around Davey Gordon, a 29 year old welterweight New York boxer in the end of his career, and his relationship with a dancer and her violent employer.",11.178,6.331,497,Killer's Kiss
700,"['Adventure', 'Action', 'Thriller']","['circus', 'atomic bomb', 'octopus', 'secret intelligence service', 'crocodile', 'eastern block', 'kgb', 'snake charmer', 'hot air balloon', 'east berlin', 'british secret service']",Octopussy,James Bond is sent to investigate after a fellow “00” agent is found dead with a priceless Indian Fabergé egg. Bond follows the mystery and uncovers a smuggling scandal and a Russian General who wants to provoke a new World War.,32.293,6.329,1812,Octopussy
355547,"['Comedy', 'Adventure', 'Family', 'Fantasy', 'Animation']","['christmas', 'cartoon donkey']",The Star,A small but brave donkey and his animal friends become the unsung heroes of the greatest story ever told: the first Christmas.,32.58,6.326,514,The Star
11096,"['Horror', 'Mystery']","['loss of loved one', 'house', 'imaginary friend']",Hide and Seek,"David Callaway tries to piece together his life in the wake of his wife's suicide and has been left to raise his nine-year-old daughter, Emily on his own. David is at first amused to discover that Emily has created an imaginary friend named 'Charlie', but it isn't long before 'Charlie' develops a sinister and violent side, and as David struggles with his daughter's growing emotional problems, he comes to the frightening realisation that 'Charlie' isn't just a figment of Emily's imagination.",17.007,6.33,1474,Hide and Seek
10428,"['Action', 'Crime', 'Thriller', 'Drama']","['new york city', 'computer', 'hacker', 'computer virus', 'virtual reality', 'prank', 'internet', 'cyberpunk', 'hacking', 'secret service', 'dream sequence']",Hackers,"Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.",26.797,6.33,1178,Hackers
8999,"['Drama', 'Thriller']","['prison', 'hotel room', 'chicago, illinois', 'rape', 'husband wife relationship', 'based on novel or book', 'businessman', 'blackmail', 'anonymous letter', ""family's daily life"", 'letter', 'relationship problems', 'deception', 'man between two women', 'beating', 'flashback', 'revenge', 'wallet', 'extramarital affair', 'embezzlement', 'advertising executive', 'abortion', 'commuter train']",Derailed,"When two married business executives having an affair are blackmailed by a violent criminal, they are forced to turn the tables on him to save their families.",18.225,6.334,954,Derailed
7131,"['Horror', 'Adventure', 'Action']","['transylvania', 'vampire', 'vatican', 'bite', 'castle', 'steampunk', 'werewolf', 'van helsing', 'notre dame cathedral', '19th century', 'mr. hyde', 'frankenstein', 'dracula']",Van Helsing,Famed monster slayer Gabriel Van Helsing is dispatched to Transylvania to assist the last of the Valerious bloodline in defeating Count Dracula. Anna Valerious reveals that Dracula has formed an unholy alliance with Dr. Frankenstein's monster and is hell-bent on exacting a centuries-old curse on her family.,43.335,6.33,5514,Van Helsing
76122,"['Adventure', 'Fantasy', 'Science Fiction', 'Action']","['based on comic', 'marvel cinematic universe (mcu)', 'short film']",Marvel One-Shot: The Consultant,"Agent Coulson informs Agent Sitwell that the World Security Council wishes Emil Blonsky to be released from prison to join the Avengers Initiative. As Nick Fury doesn't want to release Blonsky, the two agents decide to send a patsy to sabotage the meeting...",24.542,6.3,489,Marvel One-Shot: The Consultant
20481,"['Horror', 'Fantasy', 'Action']","['monster', 'escape', 'supernatural', 'serial killer', 'dark fantasy']",Nightbreed,A troubled young man is drawn to a mythical place called Midian where a variety of monsters are hiding from humanity.,15.774,6.329,421,Nightbreed
7512,"['Comedy', 'Science Fiction', 'Adventure']","['future', 'army', 'prostitute', 'usa president', 'congress', 'experiment', 'arena', 'capitalism', 'dark comedy', 'hibernation', 'stupidity', 'junk food', 'social satire', 'brainwashing', 'surveillance', 'masturbation', 'u.s. congress', 'mass media', 'aftercreditsstinger', 'commercialism', 'anti-intellectualism']",Idiocracy,"To test its top-secret Human Hibernation Project, the Pentagon picks the most average Americans it can find - an Army private and a prostitute - and sends them to the year 2505 after a series of freak events. But when they arrive, they find a civilization so dumbed-down that they're the smartest people around.",35.094,6.329,2668,Idiocracy
477489,"['Drama', 'Science Fiction', 'Thriller']","['paris, france', 'natural disaster', 'struggle for survival', 'mist', 'father daughter relationship']",Dans la brume,"When a deadly mist engulfs Paris, people find refuge in the upper floors of the buildings. With no information, no electricity and hardly any supplies, Mathieu, Anna and their daughter Sarah try to survive the disaster.",17.778,6.328,741,Just a Breath Away
464446,['Comedy'],[],Return,"A young man returns home for the weekend to discover the difficulty of juggling friends, parents, magic mushrooms and several thousand chickens.",3.691,6.328,308,Return
115210,['Horror'],"['dark comedy', 'slapstick comedy', 'teen angst', 'slaughter', 'supernatural creature', 'killer clown', 'revenge killing']",Stitches,"The clumsy and unfunny clown Richard ""Stitches"" Grindle entertains at the 10th birthday party of little Tom, but the boy and his friends play a prank with Stitches, tying his shoelaces. Stitches slips, falls and dies. Six years later, Tom gives a birthday party for his friends at home, but Stitches revives to haunt the teenagers and revenge his death.",10.866,6.328,389,Stitches
86555,"['Drama', 'Comedy']","['adultery', 'husband wife relationship', 'toronto, canada', 'dilemma', 'relationship', 'sex talk', 'attraction', 'unhappiness', 'marriage problems', 'freelance writer', 'husband wife estrangement', 'twenty something', 'woman director', 'stagnation', 'full frontal female nudity', 'hairy vagina', 'group nudity', 'hairy triangle', 'nude women showering']",Take This Waltz,"Twenty-eight-year-old Margot is happily married to Lou, a good-natured cookbook author. But when Margot meets Daniel, a handsome artist who lives across the street, their mutual attraction is undeniable.",8.478,6.3,323,Take This Waltz
41283,"['Crime', 'Drama', 'Action', 'Thriller']","['prisoner', 'police', 'hitman', 'cop', 'revenge', 'driver']",Faster,"After 10 years in prison, Driver is now a free man with a single focus - hunting down the people responsible for brutally murdering his brother.",29.873,6.328,1778,Faster
39385,['Comedy'],[],La Vérité si je mens !,Jobless loner Eddie Vuibert gets a lucky break when a rich Jewish entrepreneur mistakes him for a Jew and gives him a sweet job in the Parisian fashion district.,7.984,6.329,482,Would I Lie to You?
13225,"['Family', 'Fantasy', 'Animation', 'Adventure']","['pollution', 'fairy', 'musical', 'bat', 'environment', 'rainforest', 'logger', 'poison gas', 'independent film']",FernGully: The Last Rainforest,"When a sprite named Crysta shrinks a human boy, Zak, down to her size, he vows to help the magical fairy folk stop a greedy logging company from destroying their home: the pristine rainforest known as FernGully. Zak and his new friends fight to defend FernGully from lumberjacks — and the vengeful spirit they accidentally unleash after chopping down a magic tree.",15.086,6.323,529,FernGully: The Last Rainforest
10314,"['Comedy', 'Romance']","['jeep', 'volleyball', 'teen angst', 'misfit', 'house party', 'teen movie', 'performance art', 'little people', 'high school student', 'young love', 'prom queen', 'pygmalion', 'clown makeup', 'beatboxing', 'self expression', 'tripping', 'pool cleaner', 'based on myths, legends or folklore']",She's All That,"High school hotshot Zach Siler is the envy of his peers. But his popularity declines sharply when his cheerleader girlfriend, Taylor, leaves him for sleazy reality-television star Brock Hudson. Desperate to revive his fading reputation, Siler agrees to a seemingly impossible challenge. He has six weeks to gain the trust of nerdy outcast Laney Boggs -- and help her to become the school's next prom queen.",39.415,6.328,1963,She's All That
602269,"['Crime', 'Drama', 'Thriller']","['detective', 'serial killer', 'los angeles, california', '1990s']",The Little Things,"Deputy Sheriff Joe ""Deke"" Deacon joins forces with Sgt. Jim Baxter to search for a serial killer who's terrorizing Los Angeles. As they track the culprit, Baxter is unaware that the investigation is dredging up echoes of Deke's past, uncovering disturbing secrets that could threaten more than his case.",28.434,6.327,2245,The Little Things
602269,"['Crime', 'Drama', 'Thriller']","['detective', 'serial killer', 'los angeles, california', '1990s']",The Little Things,"Deputy Sheriff Joe ""Deke"" Deacon joins forces with Sgt. Jim Baxter to search for a serial killer who's terrorizing Los Angeles. As they track the culprit, Baxter is unaware that the investigation is dredging up echoes of Deke's past, uncovering disturbing secrets that could threaten more than his case.",28.434,6.327,2245,The Little Things
146721,['Drama'],['eroticism'],Carne,The misadventures of an attractive woman who works in a cold store.,5.652,6.327,306,Carne
